sAbbr.names,sAbbr.
Abathomphalus,Abth
Acarinina,Acar
Anaticinella,Anticin
Archaeoglobigerina,Archgl
Asterohedbergella,Asthdbg
Astrorotalia,Atrrot
Beella,Bee
Berggrenia,Berg
Biticinella,Biti
Bucherina,Buch
Candeina,Cand
Cassigerinella,Cass
Cassigerinelloita,Cassoit
Catapsydrax,Cat
Chiloguembelina,Cgmb
Clavatorella,Clvtrella
Clavigerinella,Clavi
Clavihedbergella,Clvhdbg
Compactogerina,Compac
Conoglobigerina,Cono
Contusotruncana,Contusotr
Costellagerina,Cost
Cribrohantkenina,Crib
Dentoglobigerina,Dent
Dicarinella,Dicar
Dipsidripella,Dip
Eoglobigerina,Eoglob
Eohastigerinella,Eohast
Falsotruncana,Falsot
Favusella,Favus
Fohsella,Foh
Gansserina,Gans
Globanomalina,Globan
Globigerina,Glob
Globigerinatella,Gltella
Globigerinatheka,Gtheka
Globigerinella,Gella
Globigerinelloides,Gnelloid
Globigerinita,Globita
Globigerinoides.Br,Goid.Br
Globigerinoides.Bu,Goid.Bu
Globigerinoides.C,Goid.C
Globigerinoides.W,Goid.W
Globoconella,Glcon
Globoconusa,Globcon
Globoquadrina,Gq
Globorotalia,Glrot
Globorotaloides,Glbrota
Globotruncana,Glbtr
Globotruncanella,Glbtrella
Globotruncanita,Gltrita
Globoturborotalita,Glbturbo
Globuligerina,Gbul
Gorbachikella,Gbach
Gublerina,Gubl
Guembelina,Gmblina
Guembelitria,Gmbtria
Guembelitrioides,Gmbtroid
Haeuslerina,Haeu
Hantkenina,Hantk
Hastigerina,Hast
Hastigerinoides,Hastoides
Hastigerinopsis,Hastop
Hedbergella,Hdbg
Helvetoglobotruncana,Hlvtg
Heterohelix,Htrhlx
Hirsutella,Hirs
Igorina,Ig
Jenkinsella,Jenkin
Jenkinsina,Jenk
Kuglerina,Kugl
Laeviheterohelix,Lvhtrhlx
Leupoldina,Leup
Liuella,Liue
Loeblichella,Loeb
Lunatriella,Lun
Marginotruncana,Mrgtr
Menardella,Men
Morozovella,Moro
Morozovelloides,Moroides
Neoacarinina,Neoac
Neogloboquadrina,Neogq
Orbulina,Orb
Orbulinoides,Orboid
Paracostellagerina,Prcost
Paragloborotalia,Prglrot
Parasubbotina,Prsub
Parvularugoglobigerina,Parv
Planoglobanomalina,Plglanom
Planoglobulina,Plnglina
Planomalina,Plano
Planorotalites,Planorot
Plummerita,Plum
Praeglobotruncana,Prglbtr
Praemurica,Pramu
Praeorbulina,Porb
Protentella,Prot
Pseudoglobigerinella,Psglella
Pseudoguembelina,Psguemb
Pseudohastigerina,Pshast
Pseudotextularia,Pstext
Pseudothalmanninella,Psthal
Pulleniatina,Pull
Racemiguembelina,Race
Radotruncana,Rado
Rectoguembelina,Recto
Rotalipora,Rotal
Rugoglobigerina,Rgglob
Rugotruncana,Rugotr
Schackoina,Schack
Sigalia,Sig
Sphaeroidinella,Sphaell
Sphaeroidinellopsis,Sphae
Streptochilus,Stre
Subbotina,Sub
Tenuitella,Ten
Ticinella,Ticin
Trinitella,Trini
Truncorotalia,Trun
Turborotalia,Turbo
Turborotalita,Trbita
Ventilabrella,Ventila
Whiteinella,White
Woodringina,Wood
Zeaglobigerina,Zeaglob
Zeauvigerina,Zgerina
