family,genus,Checked,Changed,subgenus,refgenus,species,origin,extin,duration,ref,ancestor,,range,w,mtheta,lw,lh,ic1,ic2,ic3,fcirc,t,numcham,expans,height,length,fcangle,area,fcarea,clava,chamwl,keel,bidors,biven,biconvex,lobe,double,depth
Candeinidae,Candeina,Y,,,11,nitida,8.1,-0.0000001,8.1000001,111,64,,8.1000001,1.081,115.97,1.15,1.206,123.447,108.492,999,98.1,114,3,1.025,469.295,561.219,86.483,235746.04,0.404086490699907,1.26376760828743,1.37225807250998,0.924374636778359,90,90,1,0.920035143468404,0,3
Globigerinitidae,Globigerinita,Y,Y,,37,iota,3.5,-0.0000001,3.5000001,1080,,,3.5000001,0.92796919083299,76.2733333333333,1.04058705110721,1.35570291777188,78.04,72.28,78.5,96.9057838081552,146.8,5,0.984453212327895,113.1,153.33,90,16616.89,0.24173356145464,1.27501490467449,1.00016043777013,0.948548871237055,90,90,1,0.895020571935159,0,3
Globigerinitidae,Globigerinita,Y,Y,,37,parkerae,11.8,-0.0000001,11.8000001,64,1060,,11.8000001,2.527,104.365,1.231,1.144,73.597,141.438,98.061,97.7,105,3.5,1.253,209.55,243.417,89.471,28721.38,0.394639115529964,1.34745463094213,1.12218366667421,0.95103695940582,90,90,1,0.912454390284371,0,3
Globigerinitidae,Globigerinita,Y,Y,,37,glutinata,26.7,-0.0000001,26.7000001,1060,,,26.7000001,2.34716257376277,91.3233333333333,1.01757764281835,1.21933853927423,95.38,101.31,77.28,94.8858279335804,156,4,1.23744943595985,174.16,212.36,90,31906.89,0.547835906288579,1.27656177265988,1.1226844692782,0.951225354258014,90,90,1,0.87047431647618,0,3
Globigerinitidae,Globigerinita,Y,Y,,37,uvula,26.7,-0.0000001,26.7000001,1061,,,26.7000001,0.378641313467755,88.09,0.865885865196923,0.84049839095635,109.47,70.23,84.57,98.8528594549897,84.23,4,0.798422982353878,242.38,203.72,90,8055.34,0.635515074472338,1.23773472134655,1.12503128764202,0.933112170516677,90,90,1,0.970032459768306,0,3
Cassigerinellidae,Cassigerinella,Y,,,12,chipolensis,33.6,11.9,21.7,310,1181,,21.7,1.985,69.807,1.225,1.431,81.325,64.125,63.97,95.1,146,5.5,1.134,74.141,110.524,89.374,18845.84,0.365977319132498,1.2025254587698,0.870655641998902,0.931560875481177,90,90,1,0.86528594159341,0,3
Cassigerinellidae,Cassigerinella,Y,,,12,eocaenica,38.6,31,7.6,1181,Benthics?,,7.6,2.16926560396736,83.18,1.23165427248492,1.5674793956044,96.77,90.56,62.21,91.2066260670604,169.07,4,1.18895201494026,58.24,91.29,90,4519.58,0.488740104168971,1.27588065199238,1.04628163141224,0.957510814976878,90,90,1,0.844105913798625,0,0
Globigerinitidae,Dipsidripella,Y,Y,,23,liqianyui,42.6,33.1,9.5,1185,1184,,9.5,6.086718536592,58.2033333333333,1.16416578797956,1.75894607843137,75.07,51.32,48.22,88.1824800141378,180,5,1.37756187526837,143.53,81.6,90,13549.65,0.294066636407583,1.17909987414006,0.830087298991278,0.924804113455936,90,90,1,0.820222952952023,0,0
Globigerinitidae,Dipsidripella,Y,Y,,23,danvillensis,43.8,36.2,7.59999999999999,1184,Benthics?,,7.59999999999999,4.1904688389801,76.1566666666667,1.06493052084375,1.6222492956674,90.06,65.69,72.72,68.7183029527757,180,5,1.37113080417851,213.05,131.33,90,33235.37,0.368784520828262,1.39255801857485,0.890264129768252,0.907596189414721,90,90,1,0.778857363066092,0,0
Globigerinitidae,Tenuitella,Y,Y,,48,anfracta,5.6,-0.0000001,5.6000001,252a,315,,5.6000001,2.01018664784875,86.12,1.10003399213325,1.86756275943862,79.02,97.06,82.28,75.5130999391659,180,4.5,1.16567804815833,101.18,188.96,90,31273.64,0.406434940096516,1.37652739567446,0.997775009140604,0.964695893851739,90,90,1,0.770319915727066,0,3
Globigerinitidae,Tenuitella,Y,Y,,48,clemenciae,21.5,5.5,16,315,491,,16,2.863,73.848,1.231,1.366,74.354,85.416,61.774,95.3,144,4.25,1.246,131.496,177.575,77.457,16616.39,0.346852114087356,1.26672039205762,0.978516204172969,0.931855125174072,90,90,1,0.818519404942409,0,3
Globigerinitidae,Tenuitella,Y,Y,,48,munda,23.2,21.9,1.3,491,1183,,1.3,2.68967809160678,87.8833333333333,1.1002933626696,1.40649320022011,90.49,92.26,80.9,75.2673808275748,175.96,4,1.27722033322725,127.21,178.92,90,22192.67,0.555785311095961,1.31451535244984,1.09646640866398,0.91194535895042,90,90,1,0.802547259045024,0,3
Globigerinitidae,Tenuitella,Y,Y,,112,gemma,34,24.3,9.7,382,1183,,9.7,2.072,59.799,1.143,1.95,60.133,57.956,61.309,95.8,165,5.5,1.127,55.182,120.914,89.988,14022.93,0.348290264588071,1.21257628185163,0.934187709345318,0.946561026877306,90,90,1,0.849693316154364,0,3
Globigerinitidae,Tenuitella,Y,Y,,112,praegemma,34.9,33.2,1.7,1183,424,,1.7,2.29023840218699,74.94,1.29127657712836,1.77757442654954,84.38,77.44,63,94.82590037815,156.84,5,1.1782049876702,81.96,145.69,90,11892.57,0.34362042855329,1.32124519986137,0.937729486783116,0.916603058134095,90,90,1,0.84371774591486,0,3
Globigerinitidae,Tenuitella,Y,Y,,112,patefacta,35.5,34,1.5,1182,424,,1.5,1.78829951281099,66.4366666666667,1.44817927170868,1.82994946360493,69.52,64.14,65.65,97.8418722717928,178.19,6,1.1146584744385,112.79,206.4,90,21650.54,0.317633186054482,1.27300882703357,0.844628106962997,0.934786995246116,90,90,1,0.81931743810072,0,3
Globigerinitidae,Tenuitella,Y,Y,,112,insolita,35.6,34.5,1.1,424,363,,1.1,1.826,88.955,1.114,1.51,68.806,70.185,127.875,95.8,135,4,1.161,104.34,158.091,89.224,19466.96,0.342695521026395,1.39171757585329,0.97566828325726,0.958993610486189,90,90,1,0.804960407395788,0,3
Chiloguembelinidae,Chiloguembelina,Y,,,15,cubensis,43,28.5,14.5,227,1172,,14.5,1.563,180.696,1.259,0.702,184.568,175.381,182.14,97,47,2,1.249,196.273,136.896,87.121,8768.75,0.277975766215253,1.22994125689978,1.01900469170469,0.911718743291861,90,90,1,0.76574588981627,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,ototara,45.8,32,13.8,1172,1171,,13.8,1.33511834893744,180,1.49695043381153,0.661218424962853,180,180,180,93.6339198783073,46.05,2,1.15547321428817,174.98,115.7,90,12942.05,0.28268550963719,1.28385118322475,1.01418689697707,0.941775404504758,90,90,1,0.791380913390647,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,crinita,59.8,45.5,14.3,1171,1202,,13.7,1.88039890345546,180,1.41869337148307,0.704933187662829,180,180,180,95.7466218179222,68.56,2,1.37127637748758,118.99,83.88,90,6647.21,0.579217446116491,1.48428455592392,1.10731978492725,0.925465517435131,90,90,1,0.813264188056934,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,parallela,54.7,53.4,1.3,1173,1174,,1.3,1.66284485292213,180,1.38028532141629,0.71734010907288,180,180,180,97.5115353160651,54.91,2,1.28951341711598,161.36,115.75,90,11840.07,0.437581872404471,1.50293666480695,1.13734712920906,0.934262758371398,90,90,1,0.836976089787635,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,wilcoxensis,57.55,53.5,4.05,1175,1171,,3.4,1.35916599189851,180,1.40763673890609,0.703728595640231,180,180,180,94.8578106676101,78.95,2,1.16583274610834,342.22,240.83,90,54697.54,0.409830131300238,1.48420190318027,1.07893496546399,0.915404562490558,90,90,1,0.807379266394956,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,trinitatensis,56.6,54.3,2.3,1174,1171,,1.6,1.48261771852023,180,1.45124117136839,0.701460371473132,180,180,180,96.7877439185924,56.75,2,1.21762790643128,352.65,247.37,90,53432.31,0.396468166919978,1.56041841799998,1.09213107921079,0.929375232733538,90,90,1,0.783145362073269,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,midwayensis,65.435,56.4,9.035,1202,1203,,9.2,1.34001979871898,180,1.62365516762685,0.630964820619993,180,180,180,92.4709176828388,41.53,2,1.15759224199153,229.68,144.92,90,22645.07,0.323221787347091,1.21270234857988,1.02650068037818,0.891306158317347,90,90,1,0.769166306551745,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,subtriangularis,62.75,60.2,2.55,1204,1202,,1.9,1.40941633122531,180,1.44566294919455,0.704216841469204,180,180,180,93.1974256102788,49.1,2,1.18718841437462,231.69,163.16,90,23116.73,0.357626705853293,1.28926967585162,0.971433646427953,0.881083228356995,90,90,1,0.786709083700752,0,1
Chiloguembelinidae,Chiloguembelina,Y,,,15,morsei,65.435,62.75,2.685,1203,1200,,3,1.19207841696611,180,1.89856633794647,0.52888947786907,180,180,180,91.845788745082,36.74,2,1.09182343671773,226.38,119.73,90,17080.96,0.277816937689685,1.30448010443942,1.31422757236735,0.930324427891757,90,90,1,0.722335377020894,0,1
Chiloguembelinidae,Streptochilus,Y,,,110,tokelauae,4.7,-0.0000001,4.7000001,648a,999990,,4.7000001,1.26860322358193,180,2.08174474959612,0.476321385964002,180,180,180,98.2710703214188,36.95,2,1.12632287714577,192.79,91.83,90,10854.72,0.263346267798709,1.23129366014247,1.24753821386708,0.926057242240665,90,90,1,0.783939781067865,0,3
Chiloguembelinidae,Streptochilus,Y,,,110,globigerum,11.7,4.7,7,999990,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
Chiloguembelinidae,Streptochilus,Y,,,110,latum,9,7.25,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiloguembelinidae,Streptochilus,Y,,,110,pristinum,22,10.3,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiloguembelinidae,Streptochilus,Y,,,110,martini,43.5,32.4,11.1,1176,1172,,11.1,1.41042221494738,180,1.40027123898092,0.705223106191629,180,180,180,95.8995661372719,53.62,2,1.18761197996121,144.55,101.94,90,9425.39,0.388747839611942,1.32940860436803,1.06901289969403,0.918075922038358,90,90,1,0.82392963047102,0,3
Favusellidae,Favusella,Y,,,27,washitensis,116.6,96.2,20.4,5037,,,20.4,3.50832565242234,87.88,1.3786855036855,1.3342659644503,133.7,72.72,57.22,87.7945975371958,144.88,5,1.28457500842338,303.8,405.35,90,86066.03,0.455854069253572,1.36217809513643,0.987952856758672,0.931341084560028,90,90,1,0.875616750129291,0,0
