end,start,,dur,zone,long.zone,sig.origin,sig.extin
0,1.9,0.95,1.9,PT1,,,
1.9,2.4,2.15,0.5,PL6,,,
2.4,3,2.7,0.6,PL5,,,
3,3.2,3.1,0.2,PL4,,,
3.2,3.9,3.55,0.7,PL3,,,
3.9,4.4,4.15,0.5,PL2,,,
4.4,5.8,5.1,1.4,PL1,,,
5.8,8.9,7.35,3.1,M13b/M14,,,
8.9,9.9,9.4,1,M13a,,,
9.9,10.5,10.2,0.6,M12,,,
10.5,11.61,11.055,1.11,M11,,,
11.61,11.9,11.755,0.29,M10,,,
11.9,13.1,12.5,1.2,M9b,,,
13.1,13.4,13.25,0.3,M8/M9a,,,
13.4,14.2,13.8,0.8,M7,,,
14.2,14.8,14.5,0.6,M6,,,
14.8,16.3,15.55,1.5,M5b,,,
16.3,16.9,16.6,0.6,M5a,,,
16.9,17.4,17.15,0.5,M4,,,
17.4,17.6,17.5,0.2,M3,,,
17.6,21.2,19.4,3.6,M2,,,
21.2,23.03,22.115,1.83,M1,,y,
23.03,26.7,24.865,3.67,P22,,,
26.7,28.45,27.575,1.75,P21b,,,
28.45,29.5,28.975,1.05,P21a,,,
29.5,30.4,29.95,0.9,P20,,,
30.4,32.1,31.25,1.7,P19,,,
32.1,33.9,33,1.8,P18,,,y
33.9,34.2,34.05,0.3,P17,,,y
34.2,35.3,34.75,1.1,P16,,,
35.3,38,36.65,2.7,P15,,,
38,39.5,38.75,1.5,P14,,,
39.5,39.9,39.7,0.4,P13,,,
39.9,42.7,41.3,2.8,P12,,,
42.7,45,43.85,2.3,P11,,,
45,48.6,46.8,3.6,P10,,,
48.6,50.8,50.45,2.2,P9,,y,y
50.8,52.3,51.55,1.5,P8,,,
52.3,53.5,52.15,1.2,P7,,,
53.5,54.3,53.9,0.8,P6b,,,
54.3,55,54.65,0.7,P6a,,,
55,56.6,55.8,1.6,P5,,y,y
56.6,57.3,56.95,0.7,P4c,,y,y
57.3,57.8,57.55,0.5,P4b,,,
57.8,59.8,58.8,2,P4a,,,
59.8,60.6,60.2,0.8,P3b,,y,y
60.6,61.7,61.15,1.1,P3a,,,
61.7,61.9,61.8,0.2,P2,,y,y
61.9,63.6,62.75,1.7,P1c,,y,
63.6,64.9,64.25,1.3,P1b,,,y
64.9,65.4,65.15,0.5,P1a,,,
65.4,65.47,65.435,0.07,Palpha,,y,
65.47,65.5,65.485,0.03,P0,,y,y
65.5,68.5,67,3,A. mayar.,Abathomphalus mayaroensis,,y
68.5,70.1,69.3,1.6,R. fruct,Racemiguembelina Fructicosa,,
70.1,72,71.05,1.9,G. gansseri,Gansserina gansseri,,
72,74.3,73.15,2.3,G. aegyptica,Globotruncana aegyptica,,
74.3,75.6,74.95,1.3,G. hav.,Globotruncana havanensis,,
75.6,76.1,75.85,0.5,G. c.,Globotruncana calcarata,,
76.1,79.9,78,3.8,G. ventricosa,Globotruncana ventricosa,,
79.9,83.5,81.7,3.6,G. elevata,Globotruncana elevata,,
83.5,84.9,84.2,1.4,D. asym.,Dicarinella asymetrica,y,y
84.9,89.5,87.2,4.6,D. concavata,Dicarinella concavata,,
89.5,90.9,90.2,1.4,M. sigali,Marginotruncana sigali,,y
90.9,93.1,92,2.2,H. helvetica,Helvetoglobotruncana helvetica,y,
93.1,93.8,93.45,0.7,W. a.,Whiteinella archaeocretacea,,
93.8,95.6,94.7,1.8,R. cush.,Rotalipora cushmani,,
95.6,95.8,95.7,0.2,R. reicheli,Rotalipora reicheli,,
95.8,99.8,97.8,4,R. globotrunan.,Rotalipora globotruncanoides,y,
99.8,100.9,100.35,1.1,R. app.,Rotalipora appenninica,,y
100.9,102.8,101.85,1.9,R. ticinen.,Rotalipora ticinensis,,
102.8,103.6,103.2,0.8,R. s.,Rotalipora subticinensis,,
103.6,106.4,105,2.8,T. praeticin.,Ticinella praeticinensis,,
106.4,111,108.7,4.6,Tic. primula,Ticinella primula,,
111,112.8,111.9,1.8,Hed. planispira,Hedbergella planispira,,y
112.8,114.6,113.7,1.8,T. beja.,Ticinella bejaouaensis,,
114.6,116.1,115.35,1.5,Gl. algerianus,Globigerinelloides algerianus,,
116.1,119.1,117.6,3,Hed. troc.,Hedbergella trocoidea,y,y
119.1,121,120.05,1.9,G. ferrero.,Globigerinelloides ferreolensis,y,
121,124.5,122.75,3.5,L. cabri,Leupoldina cabri,,
124.5,128,126.25,3.5,Glob. blowi,Globigerinelloides blowi,,
128,129.5,128.75,1.5,H. sim.,Hedbergella similis,,
129.5,136.2,197.6,6.7,H. sigali/delrioensis,Hedbergella sigali/delrioensis,,
136.2,140.2,206.3,4,Valangian,Valangian Unzoned,,
140.2,145.5,212.95,5.3,Berriasian,Berriasian Unzoned,,
145.5,150.8,220.9,5.3,Tithonian,Tithonian Unzoned,,
150.8,154.6,228.1,3.8,Kimmerdigian,Kimmerdigian Unzoned,,
154.6,161.2,235.2,6.6,Oxfordian,Oxfordian Unzoned,,
161.2,164.7,243.55,3.5,Callovian,Callovian Unzoned,,
164.7,167.7,248.55,3,Bathonian,Bathonian Unzoned,,
167.7,171.6,253.5,3.9,Bajocian,Bajocian Unzoned,,
